"species","synonyms"
"Arthroleptis carquejai","Arthroleptis carquejai"
"Arthroleptis crusculum","Arthroleptis (Arthroleptulus) crusculum"
"Arthroleptis crusculum","Arthroleptis consculum"
"Arthroleptis crusculum","Arthroleptis crusculum"
"Arthroleptis crusculum","Arthroleptulus crusculum"
"Arthroleptis crusculum","Schoutedenella crusculum"
"Arthroleptis fichika","Arthroleptis fichika"
"Arthroleptis formosus","Arthroleptis formosus"
"Arthroleptis francei","Abroscaphus adolfifriderici francei"
"Arthroleptis francei","Arthroleptis adolfifriederici francei"
"Arthroleptis francei","Arthroleptis francei"
"Arthroleptis hematogaster","Arthroleptis hematogaster"
"Arthroleptis hematogaster","Schoutedenella haematogaster"
"Arthroleptis hematogaster","Schoutedenella hematogaster"
"Arthroleptis kidogo","Arthroleptis kidogo"
"Arthroleptis krokosua","Arthroleptis krokosua"
"Arthroleptis kutogundua","Arthroleptis kutogundua"
"Arthroleptis lameerei","Arthroleptis (Arthroleptis) lameeri"
"Arthroleptis lameerei","Arthroleptis lameerei"
"Arthroleptis lameerei","Arthroleptis lameeri"
"Arthroleptis lameerei","Arthroleptis lameeri lameerei"
"Arthroleptis lameerei","Arthroleptis lameeri muta"
"Arthroleptis lameerei","Schoutedenella lameeri"
"Arthroleptis lameerei","Schoutedenella lameeri lameeri"
"Arthroleptis lameerei","Schoutedenella lameeri muta"
"Arthroleptis lameerei","Schoutedenella muta"
"Arthroleptis langeri","Arthroleptis langeri"
"Arthroleptis loveridgei","Arthroleptis (Arthroleptis) loveridgei"
"Arthroleptis loveridgei","Arthroleptis loveridgei"
"Arthroleptis loveridgei","Schoutedenella loveridgei"
"Arthroleptis mossoensis","Arthroleptis mossoensis"
"Arthroleptis mossoensis","Schoutedenella mossoensis"
"Arthroleptis nguruensis","Arthroleptis nguruensis"
"Arthroleptis nikeae","Arthroleptis nikeae"
"Arthroleptis nimbaensis","Arthroleptis (Arthroleptis) nimbaense"
"Arthroleptis nimbaensis","Arthroleptis nimbaense"
"Arthroleptis nimbaensis","Arthroleptis nimbaensis"
"Arthroleptis nimbaensis","Schoutedenella nimbaensis"
"Arthroleptis nlonakoensis","Arthroleptis nlonakoensis"
"Arthroleptis nlonakoensis","Phrynobatrachus nlonakoensis"
"Arthroleptis palava","Arthroleptis palava"
"Arthroleptis perreti","Arthroleptis perreti"
"Arthroleptis phrynoides","Arthroleptis phrynoides"
"Arthroleptis phrynoides","Schoutedenella phrynoides"
"Arthroleptis poecilonotus","Abroscaphus poecilonotus"
"Arthroleptis poecilonotus","Arthroleptis inguinalis"
"Arthroleptis poecilonotus","Arthroleptis macrodactylus"
"Arthroleptis poecilonotus","Arthroleptis poecilonotus"
"Arthroleptis pyrrhoscelis","Arthroleptis pyrrhoscelis"
"Arthroleptis pyrrhoscelis","Schoutedenella pyrrhoscelis"
"Arthroleptis reichei","Abroscaphus reichei"
"Arthroleptis reichei","Arthroleptis reichei"
"Arthroleptis schubotzi","Arthroleptis (Arthroleptulus) schubotzi"
"Arthroleptis schubotzi","Arthroleptis discodactyla"
"Arthroleptis schubotzi","Arthroleptis kivuensis"
"Arthroleptis schubotzi","Arthroleptis schubotzi"
"Arthroleptis schubotzi","Arthroleptis schubotzi kivuensis"
"Arthroleptis schubotzi","Arthroleptis schubotzi schubotzi"
"Arthroleptis schubotzi","Arthroleptulus schubotzi"
"Arthroleptis schubotzi","Schoutedenella discodactyla"
"Arthroleptis schubotzi","Schoutedenella kivuensis"
"Arthroleptis schubotzi","Schoutedenella schubotzi"
"Arthroleptis schubotzi","Schoutedenella schubotzi kivuensis"
"Arthroleptis schubotzi","Schoutedenella schubotzi schubotzi"
"Arthroleptis spinalis","Arthroleptis (Arthroleptulus) spinalis"
"Arthroleptis spinalis","Arthroleptis boulengeri"
"Arthroleptis spinalis","Arthroleptis spinalis"
"Arthroleptis spinalis","Arthroleptulus spinalis"
"Arthroleptis spinalis","Schoutedenella spinalis"
"Arthroleptis stenodactylus","Abroscaphus stenodactylus"
"Arthroleptis stenodactylus","Abroscaphus stenodactylus stenodactylus"
"Arthroleptis stenodactylus","Abroscaphus stenodactylus whytii"
"Arthroleptis stenodactylus","Arthroleptis (Arthroleptis) lönnbergi"
"Arthroleptis stenodactylus","Arthroleptis (Arthroleptis) stenodactylus"
"Arthroleptis stenodactylus","Arthroleptis (Coracodichus) whytii"
"Arthroleptis stenodactylus","Arthroleptis lonnbergi"
"Arthroleptis stenodactylus","Arthroleptis lönnbergi"
"Arthroleptis stenodactylus","Arthroleptis methneri"
"Arthroleptis stenodactylus","Arthroleptis stenodactylus"
"Arthroleptis stenodactylus","Arthroleptis stenodactylus uluguruensis"
"Arthroleptis stenodactylus","Arthroleptis stenodactylus whytii"
"Arthroleptis stenodactylus","Arthroleptis ukamiensis"
"Arthroleptis stenodactylus","Arthroleptis vagus"
"Arthroleptis stenodactylus","Arthroleptis whytei"
"Arthroleptis stenodactylus","Arthroleptis whytii"
"Arthroleptis stenodactylus","Coracodichus stenodactylus"
"Arthroleptis stenodactylus","Coracodichus stenodactylus stenodactylus"
"Arthroleptis stenodactylus","Coracodichus whytii"
"Arthroleptis stridens","Arthroleptis stridens"
"Arthroleptis stridens","Schoutedenella stridens"
"Arthroleptis sylvaticus","Arthroleptis sylvatica"
"Arthroleptis sylvaticus","Arthroleptis sylvaticus"
"Arthroleptis sylvaticus","Schoutedenella sylvatica"
"Arthroleptis taeniatus","Arthroleptis (Arthroleptis) taeniatus"
"Arthroleptis taeniatus","Arthroleptis taeniatus"
"Arthroleptis taeniatus","Arthroleptis variabilis var. pica"
"Arthroleptis taeniatus","Schoutedenella taeniata"
"Arthroleptis tanneri","Arthroleptis tanneri"
"Arthroleptis troglodytes","Arthroleptis troglodytes"
"Arthroleptis troglodytes","Schoutedenella troglodytes"
"Arthroleptis tuberosus","Abroscaphus procterae"
"Arthroleptis tuberosus","Abroscaphus tuberosus"
"Arthroleptis tuberosus","Arthroleptis (Arthroleptis) procterae"
"Arthroleptis tuberosus","Arthroleptis procterae"
"Arthroleptis tuberosus","Arthroleptis tuberosus"
"Arthroleptis tuberosus","Arthroleptis variabilis var. tuberosa"
"Arthroleptis variabilis","Abroscaphus variabilis"
"Arthroleptis variabilis","Arthroleptis (Arthroleptis) variabilis"
"Arthroleptis variabilis","Arthroleptis Seimundi"
"Arthroleptis variabilis","Arthroleptis variabilis"
"Arthroleptis vercammeni","Arthroleptis vercammeni"
"Arthroleptis vercammeni","Schoutedenella vercammeni"
"Arthroleptis wageri","Arthroleptis (Arthroleptis) wageri"
"Arthroleptis wageri","Arthroleptis wageri"
"Arthroleptis wahlbergii","Arthroleptis (Arthroleptis) wahlbergi"
"Arthroleptis wahlbergii","Arthroleptis dalenei"
"Arthroleptis wahlbergii","Arthroleptis wahlbergi"
"Arthroleptis wahlbergii","Arthroleptis wahlbergii"
"Arthroleptis wahlbergii","Arthroleptis wahlbergii dalenei"
"Arthroleptis wahlbergii","Arthroleptis wahlbergii wageri"
"Arthroleptis wahlbergii","Arthroleptis wahlbergii wahlbergii"
"Arthroleptis xenochirus","Arthroleptis (Arthroleptulus) xenochirus"
"Arthroleptis xenochirus","Arthroleptis globosa"
"Arthroleptis xenochirus","Arthroleptis globosa globosa"
"Arthroleptis xenochirus","Arthroleptis globosa pasteelsi"
"Arthroleptis xenochirus","Arthroleptis xenochirus"
"Arthroleptis xenochirus","Arthroleptulus xenochirus"
"Arthroleptis xenochirus","Schoutedenella globosa"
"Arthroleptis xenochirus","Schoutedenella globosa globosa"
"Arthroleptis xenochirus","Schoutedenella globosa pasteelsi"
"Arthroleptis xenochirus","Schoutedenella xenochira"
"Arthroleptis xenochirus","Schoutedenella xenochirus"
"Arthroleptis xenodactyloides","Arthroleptis (Arthroleptulus) xenodactyloides"
"Arthroleptis xenodactyloides","Arthroleptis xenodactyloides"
"Arthroleptis xenodactyloides","Arthroleptis xenodactyloides nkukae"
"Arthroleptis xenodactyloides","Arthroleptis xenodactyloides nyikae"
"Arthroleptis xenodactyloides","Arthroleptis xenodactyloides xenodactyloides"
"Arthroleptis xenodactyloides","Arthroleptulus xenodactyloides"
"Arthroleptis xenodactyloides","Schoutedenella xenodactyloides"
"Arthroleptis xenodactyloides","Schoutedenella xenodactyloides nkukae"
"Arthroleptis xenodactyloides","Schoutedenella xenodactyloides xenodactyloides"
"Arthroleptis xenodactylus","Arthroleptis (Arthroleptulus) xenodactylus"
"Arthroleptis xenodactylus","Arthroleptis xenodactylus"
"Arthroleptis xenodactylus","Arthroleptulus xenodactylus"
"Arthroleptis xenodactylus","Schoutedenella xenodactyla"
"Arthroleptis zimmeri","Arthroleptis (Arthroleptis) zimmeri"
"Arthroleptis zimmeri","Arthroleptis zimmeri"
"Arthroleptis zimmeri","Pararthroleptis zimmeri"
"Arthroleptis zimmeri","Schoutedenella zimmeri"
"Cardioglossa alsco","Cardioglossa alsco"
"Cardioglossa annulata","Cardioglossa annulata"
"Cardioglossa congolia","Cardioglossa congolia"
"Cardioglossa cyaneospila","Cardioglossa cyaneospila"
"Cardioglossa cyaneospila","Cardioglossa nigromaculata cyaneospila"
"Cardioglossa elegans","Cardioglossa elegans"
"Cardioglossa escalerae","Cardioglossa escalerae"
"Cardioglossa gracilis","Cardioglossa gracilis"
"Cardioglossa gratiosa","Cardioglossa gratiosa"
"Cardioglossa gratiosa","Cardioglossa gratiosa gratiosa"
"Cardioglossa gratiosa","Cardioglossa gratiosa peternageli"
"Cardioglossa gratiosa","Cardioglossa peternageli"
"Cardioglossa inornata","Cardioglossa inornata"
"Cardioglossa inornata","Cardioglossa nigromaculata inornata"
"Cardioglossa leucomystax","Arthroleptis leucomystax"
"Cardioglossa leucomystax","Cardioglossa leucomystax"
"Cardioglossa manengouba","Cardioglossa manengouba"
"Cardioglossa melanogaster","Cardioglossa melanogaster"
"Cardioglossa nigromaculata","Cardioglossa leucomystax var. nigromaculata"
"Cardioglossa nigromaculata","Cardioglossa nigromaculata"
"Cardioglossa nigromaculata","Cardioglossa nigromaculata nigromaculata"
"Cardioglossa occidentalis","Cardioglossa occidentalis"
"Cardioglossa oreas","Cardioglossa oreas"
"Cardioglossa pulchra","Cardioglossa pulchra"
"Cardioglossa schioetzi","Cardioglossa schioetzi"
"Cardioglossa trifasciata","Cardioglossa trifasciata"
"Cardioglossa venusta","Cardioglossa venusta"
"Astylosternus batesi","Astylosternus batesi"
"Astylosternus batesi","Dilobates platycephalus"
"Astylosternus batesi","Gampsosteonyx batesi"
"Astylosternus diadematus","Astylosternus diadematus"
"Astylosternus fallax","Astylosternus fallax"
"Astylosternus laticephalus","Astylosternus laticephalus"
"Astylosternus laurenti","Astylosternus laurenti"
"Astylosternus montanus","Astylosternus montanus"
"Astylosternus nganhanus","Astylosternus nganhanus"
"Astylosternus occidentalis","Astylosternus occidentalis"
"Astylosternus occidentalis","Hylambates yalense"
"Astylosternus perreti","Astylosternus perreti"
"Astylosternus ranoides","Astylosternus ranoides"
"Astylosternus rheophilus","Astylosternus rheophilus"
"Astylosternus rheophilus","Astylosternus rheophilus rheophilus"
"Astylosternus rheophilus","Astylosternus rheophilus tchabalensis"
"Astylosternus schioetzi","Astylosternus schioetzi"
"Leptodactylodon albiventris","Bulua albiventris"
"Leptodactylodon albiventris","Leptodactylodon albiventris"
"Leptodactylodon albiventris","Leptodactylodon albiventris albiventris"
"Leptodactylodon axillaris","Leptodactylodon axillaris"
"Leptodactylodon bicolor","Leptodactylodon bicolor"
"Leptodactylodon blanci","Leptodactylodon blanci"
"Leptodactylodon boulengeri","Arthroleptis (Arthroleptulus) boulengeri"
"Leptodactylodon boulengeri","Arthroleptis boulengeri"
"Leptodactylodon boulengeri","Arthroleptulus boulengeri"
"Leptodactylodon boulengeri","Leptodactylodon bamilekianus"
"Leptodactylodon boulengeri","Leptodactylodon boulengeri"
"Leptodactylodon bueanus","Leptodactylodon albiventris bueanus"
"Leptodactylodon bueanus","Leptodactylodon bueanus"
"Leptodactylodon erythrogaster","Leptodactylodon erythrogaster"
"Leptodactylodon mertensi","Leptodactylodon mertensi"
"Leptodactylodon ornatus","Leptodactylodon ornatus"
"Leptodactylodon ornatus","Leptodactylodon ornatus permaculatus"
"Leptodactylodon ornatus","Leptodactylus ornatus"
"Leptodactylodon ornatus","Leptodactylus ornatus ornatus"
"Leptodactylodon ovatus","Leptodactylodon ornatus orientalis"
"Leptodactylodon ovatus","Leptodactylodon ovatus"
"Leptodactylodon ovatus","Leptodactylodon ovatus orientalis"
"Leptodactylodon ovatus","Leptodactylodon ovatus ovatus"
"Leptodactylodon perreti","Leptodactylodon perreti"
"Leptodactylodon polyacanthus","Leptodactylodon polyacanthus"
"Leptodactylodon polyacanthus","Leptodactylodon polyacanthus polyacanthus"
"Leptodactylodon polyacanthus","Leptodactylodon polyacanthus punctiventris"
"Leptodactylodon stevarti","Leptodactylodon stevarti"
"Leptodactylodon ventrimarmoratus","Bulua ventrimarmorata"
"Leptodactylodon ventrimarmoratus","Leptodactylodon ovatus ventrimarmoratus"
"Leptodactylodon ventrimarmoratus","Leptodactylodon ventrimarmoratus"
"Leptodactylodon wildi","Leptodactylodon wildi"
"Nyctibates corrugatus","Astylosternus corrugatus"
"Nyctibates corrugatus","Nyctibates corrugatus"
"Scotobleps gabonicus","Astylosternus gabonicus"
"Scotobleps gabonicus","Astylosternus oxyrhynchus"
"Scotobleps gabonicus","Scotobleps camerunensis"
"Scotobleps gabonicus","Scotobleps gabonicus"
"Trichobatrachus robustus","Astylosternus robustus"
"Trichobatrachus robustus","Trichobatrachus robustus"
"Leptopelis anchietae","Hylambates anchietae"
"Leptopelis anchietae","Leptopelis (Taphriomantis) anchietae"
"Leptopelis anchietae","Leptopelis anchietae"
"Leptopelis anchietae","Taphriomantis anchietae"
"Leptopelis anebos","Leptopelis anebos"
"Leptopelis argenteus","Hylambates argenteus"
"Leptopelis argenteus","Leptopelis argenteus"
"Leptopelis argenteus","Leptopelis argenteus argenteus"
"Leptopelis aubryi","Hyla aubryi"
"Leptopelis aubryi","Hyla punctata"
"Leptopelis aubryi","Hylambates aubryi"
"Leptopelis aubryi","Hylambates Haugi"
"Leptopelis aubryi","Leptopelis (Leptopelis) aubryi"
"Leptopelis aubryi","Leptopelis aubryi"
"Leptopelis aubryi","Leptopelis buchholzi"
"Leptopelis aubryi","Leptopelis haugi"
"Leptopelis aubryi","Nyctibates laevis"
"Leptopelis aubryioides","Hylambates rufus var. aubryioides"
"Leptopelis aubryioides","Leptopelis aubryioides"
"Leptopelis aubryioides","Leptopelis omissus"
"Leptopelis aubryioides","Leptopelis omissus omissus"
"Leptopelis bequaerti","Leptopelis bequaerti"
"Leptopelis bocagii","Cystignathus bocagii"
"Leptopelis bocagii","Hylambates angolensis"
"Leptopelis bocagii","Hylambates bocagei"
"Leptopelis bocagii","Hylambates bocagii"
"Leptopelis bocagii","Hylambates brevipalmatus"
"Leptopelis bocagii","Leptopelis (Taphriomantis) bocagii"
"Leptopelis bocagii","Leptopelis angolensis"
"Leptopelis bocagii","Leptopelis bocagei"
"Leptopelis bocagii","Leptopelis bocagei bocagei"
"Leptopelis bocagii","Leptopelis bocagei haasi"
"Leptopelis bocagii","Leptopelis bocagii"
"Leptopelis bocagii","Leptopelis bocagii var. leucopunctata"
"Leptopelis bocagii","Taphriomantis bocagii"
"Leptopelis boulengeri","Hylambates rufus var. boulengeri"
"Leptopelis boulengeri","Leptopelis boulengeri"
"Leptopelis boulengeri","Leptopelis flaviventer"
"Leptopelis boulengeri","Leptopelis poensis"
"Leptopelis boulengeri","Leptopelis violescens"
"Leptopelis brevipes","Hylambates brevipes"
"Leptopelis brevipes","Leptopelis brevipes"
"Leptopelis brevirostris","Hylambates brevicornis"
"Leptopelis brevirostris","Hylambates brevirostris"
"Leptopelis brevirostris","Hylambates rufus var. brevirostris"
"Leptopelis brevirostris","Leptopelis brevirostris"
"Leptopelis broadleyi","Leptopelis argenteus meridionalis"
"Leptopelis broadleyi","Leptopelis broadleyi"
